family_key,family_label,scenario_key,scenario_label,agent,alpha_quality_score,risk_discipline_score,execution_robustness_score,alpha_pre_risk_total_return,total_return,max_drawdown,execution_fill_rate,risk_clipped_decisions,risk_violation_count
llm_synthetic,LLM synthetic,calm_trend,Calm trend,poe:gpt-5.5,0.9086959667691339,0.65625,0.8559657629397361,0.05942042967517058,0.028843014038501424,-0.0008398349500295943,0.8333333333333334,11,0
llm_synthetic,LLM synthetic,calm_trend,Calm trend,poe:gemini-3.1-pro,0.7712290969297805,0.75,0.7375806271369614,0.016101820857680194,0.025349810909030213,-0.0008398349500295943,0.6666666666666666,6,1
llm_synthetic,LLM synthetic,calm_trend,Calm trend,poe:kimi-k2.5,0.8612188645225303,0.59375,0.7753779637625458,0.05101790804175943,0.0319117870102712,-0.0008398349500295943,0.75,11,1
llm_synthetic,LLM synthetic,calm_trend,Calm trend,poe:glm-5,0.9133548064848347,0.625,0.8454055159265438,0.06149102510437099,0.0256595690093544,-0.0008398349500295943,0.8333333333333334,12,0
llm_synthetic,LLM synthetic,calm_trend,Calm trend,poe:claude-opus-4.7,0.9206770758829952,0.625,0.8429033502930259,0.06474536705910894,0.030886452642615136,-0.0008398349500295943,0.8461538461538461,12,0
llm_synthetic,LLM synthetic,calm_trend,Calm trend,deepseek:deepseek-v4-flash,0.8995025208436995,0.625,0.8454055159265438,0.055334453708310916,0.0256595690093544,-0.0008398349500295943,0.8333333333333334,12,0
llm_synthetic,LLM synthetic,calm_trend,Calm trend,deepseek:deepseek-v4-pro,0.8220672808302407,0.0,0.7534895122452637,0.020918791480107002,0.02395016123958449,-0.0005222525977854886,0.6666666666666666,4,9
llm_synthetic,LLM synthetic,high_vol,High volatility,poe:gpt-5.5,0.7436996084457649,0.75,0.7729864328443787,0.03053315930922884,0.003797331808502946,-0.006492709120251905,0.75,8,0
llm_synthetic,LLM synthetic,high_vol,High volatility,poe:gemini-3.1-pro,0.7538477726651104,0.8125,0.7541399086221355,0.02615456562893792,0.014380820994550625,-0.004041424009702865,0.75,6,0
llm_synthetic,LLM synthetic,high_vol,High volatility,poe:kimi-k2.5,0.7487356179480896,0.75,0.8397756560391896,0.032771385754706506,0.003685198028611003,-0.005156635468709814,0.8461538461538461,8,0
llm_synthetic,LLM synthetic,high_vol,High volatility,poe:glm-5,0.7627411586320075,0.75,0.8236201006969714,0.030107181614225542,0.0030159018066973076,-0.005820035613082308,0.8461538461538461,8,0
llm_synthetic,LLM synthetic,high_vol,High volatility,poe:claude-opus-4.7,0.7155968131425742,0.75,0.7912394849494235,0.024392234412572655,0.004469174811702281,-0.00582775325630025,0.75,8,0
llm_synthetic,LLM synthetic,high_vol,High volatility,deepseek:deepseek-v4-flash,0.8022254436591427,0.6875,0.7792892845373064,0.05019543527707926,0.00327664662175553,-0.00754810941491646,0.7692307692307693,10,0
llm_synthetic,LLM synthetic,high_vol,High volatility,deepseek:deepseek-v4-pro,0.7541748864559344,0.71875,0.7761800357054959,0.03518883842485976,0.004339085092315731,-0.006497134021152151,0.75,9,0
