family_key,family_label,rows,alpha_quality_score,risk_discipline_score,execution_robustness_score,alpha_pre_risk_total_return,total_return,max_drawdown,execution_fill_rate,risk_clipped_decisions,risk_violation_count
llm_synthetic,LLM synthetic,102,0.6225011646457032,0.6534926470588235,0.7783236279952691,0.02891814390344739,0.00880503412701852,-0.05419278898103341,0.4836850377291554,384,188
llm_real_market,LLM real-market,90,0.48880078114624415,0.41157407407407404,0.6869039104101223,0.0048291944050296775,-0.04376963596005918,-0.20577384534423304,0.6510192233962923,1871,717
classical_synthetic,Classical synthetic,24,0.7433796543305883,0.4583333333333333,0.7313276869344412,0.031169232072456216,0.013652310543971752,-0.052124532250713895,0.7140224358974359,0,126
classical_real_market,Classical real-market,8,0.6943114079282108,0.21180555555555558,0.7220287718110483,0.041822060074415635,0.012086732227008817,-0.15379826076953995,0.7811526356784977,0,138
