universe,scenario_key,scenario_id,scenario_label,provider,model,baseline_label,baseline_family,strategy,data_source,frequency,symbols,data_hash,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,-0.010430389582009258,-0.010430389582009258,-10.376989488828194,1.0,0,0,13,1.0
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,0.0017299863017847805,-0.03418154508573645,0.35422380611840176,0.8125,1,0,0,1.0
synthetic,spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-spread_explosion-seed-53-symbols-SYN-ALT-periods-8,0.004633100244857857,-0.03821073838806466,0.7300086592633176,0.8125,1,0,1,1.0
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.3,1,0,7,1.0
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.004174313459932133,-0.001083528133489331,4.52058804373623,0.3333333333333333,0,0,11,1.0
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.027597063054444204,-0.011011830267204314,4.91320417689668,0.1875,5,0,0,1.0
synthetic,latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-latency_spike-seed-65-symbols-SYN-ALT-periods-8,0.027597063054444204,-0.011011830267204314,4.91320417689668,0.1875,5,0,0,1.0
real_market,recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,0.010967412014854405,-0.056238457991128143,0.919964854733054,0.6896551724137931,6,0,17,1.0
real_market,recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,0.020798007568772814,-0.01546377938267729,2.5291334308553206,0.8,3,0,29,1.0
real_market,recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,0.10445619791347771,-0.041412831711359566,6.42826425914204,0.8888888888888888,1,0,8,1.0
real_market,recent_cross_asset,leaderboard_real_yahoo_recent_gspc_btc_btcf_weekly_v0_1,Yahoo recent GSPC/BTC/BTC futures,deterministic,min_var,Minimum variance,covariance_weighted,min-var,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,0.0863719053018086,-0.05455719995190811,5.217117635884294,0.8620689655172413,2,0,17,1.0
real_market,rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,-0.13849127879134115,-0.15379826076953995,-4.315169144813337,0.6538461538461539,6,0,24,1.0
real_market,rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,-0.07118870247989106,-0.09843711773194863,-3.6214530656602992,0.7,3,0,23,1.0
real_market,rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,0.047678818917642474,-0.046742470278478776,2.843873703006793,0.8333333333333334,3,0,5,1.0
real_market,rates_drawdown,leaderboard_real_yahoo_2022_gspc_btc_btcf_weekly_v0_1,Yahoo 2022 rates drawdown,deterministic,min_var,Minimum variance,covariance_weighted,min-var,yahoo-finance-csv,weekly,GSPC;BTC-USD;BTC=F,sha256:a5cc889c07bd7a70b9413b00e624e2713f3c22dd61c99fa0e320b64229637948,0.03610149737074675,-0.05988608735050993,2.116045237485113,0.8214285714285714,3,0,15,1.0
