scenario_key,scenario_id,scenario_label,provider,model,stress_family,participation_rate,spread_bps,latency_steps,parse_coverage,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,reproducibility_hash,submission,summary
high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deepseek,deepseek-v4-pro,market,0.05,0.0,1,1.0,0.004339085092315731,-0.006497134021152151,1.8655841484462325,0.75,1,9,sha256:674c1e283be1acfaf01851d89d7df053a7d1a2ea5bf096b1fd572467816c3a0a,examples/benchmark_submissions/model_matrix/high_vol__deepseek_deepseek_v4_pro.json,docs/results/model_matrix/high_vol__deepseek_deepseek_v4_pro_summary.json
jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,poe,gpt-5.5,market,0.05,0.0,1,1.0,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.6666666666666666,3,12,sha256:2528c83bacdd67ae1ff8cbb12f7f89cb11b0497cdd1ee4014245c5a18a2d824e,examples/benchmark_submissions/model_matrix/jump_tail__poe_gpt_5_5.json,docs/results/model_matrix/jump_tail__poe_gpt_5_5_summary.json
jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,poe,gemini-3.1-pro,market,0.05,0.0,1,1.0,0.015666191920414185,-0.007501423714052713,3.8126325800933936,0.6428571428571429,3,9,sha256:2b0ad1cdc2320edcdad5e129e469b423da875d500954c8657f37ddc60355ab2f,examples/benchmark_submissions/model_matrix/jump_tail__poe_gemini_3_1_pro.json,docs/results/model_matrix/jump_tail__poe_gemini_3_1_pro_summary.json
jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,poe,kimi-k2.5,market,0.05,0.0,1,1.0,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.6666666666666666,3,11,sha256:29416b903b7977ca9b0541fc30d5877717ed7973bee7853c1402e95034daf5d4,examples/benchmark_submissions/model_matrix/jump_tail__poe_kimi_k2_5.json,docs/results/model_matrix/jump_tail__poe_kimi_k2_5_summary.json
jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,poe,glm-5,market,0.05,0.0,1,1.0,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.7142857142857143,3,11,sha256:ef562b50bcb69155b4c7ecb1f661d59550290c4b0216b32e0813728977b0baae,examples/benchmark_submissions/model_matrix/jump_tail__poe_glm_5.json,docs/results/model_matrix/jump_tail__poe_glm_5_summary.json
jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,poe,claude-opus-4.7,market,0.05,0.0,1,1.0,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.6666666666666666,3,10,sha256:ad141dae1467142e8b25153d50a36108a3a5be21b37721c8618a07a10550b281,examples/benchmark_submissions/model_matrix/jump_tail__poe_claude_opus_4_7.json,docs/results/model_matrix/jump_tail__poe_claude_opus_4_7_summary.json
jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deepseek,deepseek-v4-flash,market,0.05,0.0,1,1.0,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.6666666666666666,3,12,sha256:beed81298902e43afad444bffb1b6a6d917cbddd0b9fadef83e11a7f9b0111ee,examples/benchmark_submissions/model_matrix/jump_tail__deepseek_deepseek_v4_flash.json,docs/results/model_matrix/jump_tail__deepseek_deepseek_v4_flash_summary.json
jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deepseek,deepseek-v4-pro,market,0.05,0.0,1,1.0,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.7692307692307693,2,9,sha256:38e8ccb0a173ba8e7ec767d08f26a8a00adf0760e58bc75caa05573db6853102,examples/benchmark_submissions/model_matrix/jump_tail__deepseek_deepseek_v4_pro.json,docs/results/model_matrix/jump_tail__deepseek_deepseek_v4_pro_summary.json
liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,poe,gpt-5.5,execution,0.005,15.0,1,1.0,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.8,0,9,sha256:258a6806e19649019f1e09291cb28e479380027a23711333f3aaa27df3cc4953,examples/benchmark_submissions/model_matrix/liquidity_collapse__poe_gpt_5_5.json,docs/results/model_matrix/liquidity_collapse__poe_gpt_5_5_summary.json
liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,poe,gemini-3.1-pro,execution,0.005,15.0,1,1.0,0.020867624635534376,-0.01022505326272638,4.588914838027487,0.7692307692307693,1,10,sha256:7c74fcf1864145d247ab172b983577f8c74691cd60981e8b8991adc89bf58c3d,examples/benchmark_submissions/model_matrix/liquidity_collapse__poe_gemini_3_1_pro.json,docs/results/model_matrix/liquidity_collapse__poe_gemini_3_1_pro_summary.json
liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,poe,kimi-k2.5,execution,0.005,15.0,1,1.0,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.8,0,9,sha256:dbc12edb9fdc3dab21d5cbc39bf2c9e8de221536ca2ef2edd557c9ceaaa145b1,examples/benchmark_submissions/model_matrix/liquidity_collapse__poe_kimi_k2_5.json,docs/results/model_matrix/liquidity_collapse__poe_kimi_k2_5_summary.json
liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,poe,glm-5,execution,0.005,15.0,1,1.0,0.014962797065820821,-0.0372052787526056,1.9039975564331149,0.8461538461538461,0,11,sha256:bf76597c8458194c3028674be3308c2f57725fa52e0d777e2376e6ade75ce480,examples/benchmark_submissions/model_matrix/liquidity_collapse__poe_glm_5.json,docs/results/model_matrix/liquidity_collapse__poe_glm_5_summary.json
liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,poe,claude-opus-4.7,execution,0.005,15.0,1,1.0,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.8,0,8,sha256:e141444c10b499c180dfb581de1416afca7b4e4361cbebd337230bb1a72dc626,examples/benchmark_submissions/model_matrix/liquidity_collapse__poe_claude_opus_4_7.json,docs/results/model_matrix/liquidity_collapse__poe_claude_opus_4_7_summary.json
liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deepseek,deepseek-v4-flash,execution,0.005,15.0,1,1.0,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.8,0,9,sha256:f140448ea8bf431a96e59de6d1eae559a34b7eb795fcd276374ec727a6c22f32,examples/benchmark_submissions/model_matrix/liquidity_collapse__deepseek_deepseek_v4_flash.json,docs/results/model_matrix/liquidity_collapse__deepseek_deepseek_v4_flash_summary.json
liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deepseek,deepseek-v4-pro,execution,0.005,15.0,1,1.0,0.023637194586975108,-0.016678732212523473,4.317468239634305,0.625,1,6,sha256:c16384f61ed48d6dccd7e8c18d7732958d321d6ee72003e7c1af46021380a700,examples/benchmark_submissions/model_matrix/liquidity_collapse__deepseek_deepseek_v4_pro.json,docs/results/model_matrix/liquidity_collapse__deepseek_deepseek_v4_pro_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,gpt-5.5,execution,0.05,150.0,1,1.0,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.7692307692307693,1,9,sha256:4f70f610f76269ef586b85c257d2a204491bb1931b869ee03476307202b36f15,examples/benchmark_submissions/model_matrix/spread_explosion__poe_gpt_5_5.json,docs/results/model_matrix/spread_explosion__poe_gpt_5_5_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,gemini-3.1-pro,execution,0.05,150.0,1,1.0,-0.00648672314110732,-0.033427247951419825,-1.0025195701535081,0.7857142857142857,1,9,sha256:0eec987d07d007becd480fe80db779145696cda13e1608c15c5de3f6c532eedc,examples/benchmark_submissions/model_matrix/spread_explosion__poe_gemini_3_1_pro.json,docs/results/model_matrix/spread_explosion__poe_gemini_3_1_pro_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,kimi-k2.5,execution,0.05,150.0,1,1.0,-0.0006997714470967642,-0.023337813269680985,-0.05506788742478138,0.75,1,8,sha256:af4cb425dcacfaf024b0f4ad0cbfd1c0bb356716b4986215d6e25ab9631b65ab,examples/benchmark_submissions/model_matrix/spread_explosion__poe_kimi_k2_5.json,docs/results/model_matrix/spread_explosion__poe_kimi_k2_5_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,glm-5,execution,0.05,150.0,1,0.875,-0.011567619901294623,-0.026946008515300268,-3.137235705777786,0.75,1,8,sha256:4238ac192934e167f11a889c8229ca517496fe733338983a80f6b288f1624e4a,examples/benchmark_submissions/model_matrix/spread_explosion__poe_glm_5.json,docs/results/model_matrix/spread_explosion__poe_glm_5_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,poe,claude-opus-4.7,execution,0.05,150.0,1,1.0,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.7692307692307693,1,9,sha256:aadd024e0ff36884378589acec290be7d30fa3e69d1fea94538dccfaee33b599,examples/benchmark_submissions/model_matrix/spread_explosion__poe_claude_opus_4_7.json,docs/results/model_matrix/spread_explosion__poe_claude_opus_4_7_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deepseek,deepseek-v4-flash,execution,0.05,150.0,1,1.0,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.7692307692307693,1,9,sha256:67f06bfaf6c18422eb9ed909199ac61ece52d1ab62e55fa181fe706b087fabe0,examples/benchmark_submissions/model_matrix/spread_explosion__deepseek_deepseek_v4_flash.json,docs/results/model_matrix/spread_explosion__deepseek_deepseek_v4_flash_summary.json
spread_explosion,leaderboard_llm_spread_explosion_synthetic_v0_1,Spread explosion,deepseek,deepseek-v4-pro,execution,0.05,150.0,1,1.0,0.004837979222670485,-0.020633570209063867,0.9380650697872337,0.8333333333333334,1,4,sha256:5becb0f8a81c3baf61074de483bdeb00291b6f7cf7e88488cbf6c7c492cddd9e,examples/benchmark_submissions/model_matrix/spread_explosion__deepseek_deepseek_v4_pro.json,docs/results/model_matrix/spread_explosion__deepseek_deepseek_v4_pro_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,gpt-5.5,execution,0.03,25.0,4,1.0,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,sha256:7cc3e4f7d2305af73e55aecc4a2b11219ce86fae2638b740c2aed3e2efe8fd93,examples/benchmark_submissions/model_matrix/latency_spike__poe_gpt_5_5.json,docs/results/model_matrix/latency_spike__poe_gpt_5_5_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,gemini-3.1-pro,execution,0.03,25.0,4,1.0,0.03290557483821965,-0.009126731449652481,5.679830335254814,0.23076923076923078,3,13,sha256:c6ccc398ad52c0cf0a55a903e5f4724f5a7a7a4193d0ad6c6d6a1f5dd44e6a51,examples/benchmark_submissions/model_matrix/latency_spike__poe_gemini_3_1_pro.json,docs/results/model_matrix/latency_spike__poe_gemini_3_1_pro_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,kimi-k2.5,execution,0.03,25.0,4,1.0,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,sha256:55c793a2e667c6c4ee92b928e9d2f65f0e1161e6aee88f947f54ab1e3f8eea72,examples/benchmark_submissions/model_matrix/latency_spike__poe_kimi_k2_5.json,docs/results/model_matrix/latency_spike__poe_kimi_k2_5_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,glm-5,execution,0.03,25.0,4,0.875,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.3,0,9,sha256:37c24c637fa4d46faae9e75f12508887c6791427b3a36614e7144b728376d86e,examples/benchmark_submissions/model_matrix/latency_spike__poe_glm_5.json,docs/results/model_matrix/latency_spike__poe_glm_5_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,poe,claude-opus-4.7,execution,0.03,25.0,4,1.0,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,sha256:daba4eff4ee7cfdd73e54f04d200353bd4359ed7f04e5ebf31f0948b79fe5763,examples/benchmark_submissions/model_matrix/latency_spike__poe_claude_opus_4_7.json,docs/results/model_matrix/latency_spike__poe_claude_opus_4_7_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deepseek,deepseek-v4-flash,execution,0.03,25.0,4,1.0,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,sha256:3c0e2dbbbcc3877171eeca57db76a3b41b5fe213daeb5420fb4b56090421f475,examples/benchmark_submissions/model_matrix/latency_spike__deepseek_deepseek_v4_flash.json,docs/results/model_matrix/latency_spike__deepseek_deepseek_v4_flash_summary.json
latency_spike,leaderboard_llm_latency_spike_synthetic_v0_1,Latency spike,deepseek,deepseek-v4-pro,execution,0.03,25.0,4,1.0,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.2727272727272727,1,9,sha256:9a1474268cb34d01a1628d55df636a32cfdc032d61f3f64c9cb7c5423b0e671b,examples/benchmark_submissions/model_matrix/latency_spike__deepseek_deepseek_v4_pro.json,docs/results/model_matrix/latency_spike__deepseek_deepseek_v4_pro_summary.json
