provider,model,scenario_count,avg_return,worst_drawdown,avg_sharpe,avg_fill_rate,total_rejected_orders,total_risk_edits,avg_parse_coverage
poe,gemini-3.1-pro,6,0.01711388335944029,-0.033427247951419825,6.007507214099782,0.6408730158730159,12,53,1.0
poe,kimi-k2.5,6,0.016124146753345003,-0.023337813269680985,5.5435799446503955,0.6809246309246308,6,56,1.0
poe,claude-opus-4.7,6,0.013610783125039974,-0.042385397460331986,6.0366967130831135,0.6841297591297592,6,56,1.0
poe,gpt-5.5,6,0.013158236190487801,-0.042385397460331986,5.613165086599523,0.681993006993007,6,58,1.0
deepseek,deepseek-v4-flash,6,0.012540881154505393,-0.042385397460331986,5.4094102905824855,0.6851981351981352,6,61,1.0
deepseek,deepseek-v4-pro,6,0.012408669651569726,-0.021397961890934902,2.9583055018422217,0.6528263403263403,7,41,1.0
poe,glm-5,6,0.008293040958075074,-0.0372052787526056,3.4485039932170736,0.71498778998779,4,59,0.9583333333333334
