provider,model,shock_scenarios,avg_return,worst_drawdown,avg_fill_rate,total_rejected_orders,total_risk_edits,avg_parse_coverage
poe,glm-5,3,0.0014652898144049686,-0.0372052787526056,0.632051282051282,1,28,0.9166666666666666
deepseek,deepseek-v4-flash,3,0.009874055268912866,-0.042385397460331986,0.6139860139860139,2,27,1.0
poe,claude-opus-4.7,3,0.009874055268912866,-0.042385397460331986,0.6139860139860139,2,26,1.0
poe,gpt-5.5,3,0.009874055268912866,-0.042385397460331986,0.6139860139860139,2,27,1.0
poe,kimi-k2.5,3,0.014820329997334661,-0.023337813269680985,0.6075757575757575,2,26,1.0
poe,gemini-3.1-pro,3,0.015762158777548902,-0.033427247951419825,0.5952380952380952,5,32,1.0
deepseek,deepseek-v4-pro,3,0.009825288696111434,-0.020633570209063867,0.577020202020202,3,19,1.0
